date,Revenue,COGS,day_of_week,day_of_month,day_of_year,week_of_year,month,quarter,year,is_weekend,time_index,revenue_lag_1,cogs_lag_1,revenue_lag_7,cogs_lag_7,revenue_lag_14,cogs_lag_14,revenue_lag_28,cogs_lag_28,revenue_lag_30,cogs_lag_30,revenue_lag_60,cogs_lag_60,revenue_lag_90,cogs_lag_90,revenue_lag_365,cogs_lag_365,revenue_roll_mean_7,revenue_roll_std_7,cogs_roll_mean_7,revenue_roll_mean_14,revenue_roll_std_14,cogs_roll_mean_14,revenue_roll_mean_28,revenue_roll_std_28,cogs_roll_mean_28,revenue_roll_mean_30,revenue_roll_std_30,cogs_roll_mean_30,revenue_roll_mean_60,revenue_roll_std_60,cogs_roll_mean_60,revenue_roll_mean_90,revenue_roll_std_90,cogs_roll_mean_90,revenue_ewm_7,revenue_ewm_30,active_campaigns,active_promo_types,active_promo_channels,active_promo_categories
2012-07-04,5123547.94,3982991.19,2,4,186,27,7,3,2012,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2012-07-05,2751773.45,2150580.23,3,5,187,27,7,3,2012,0,1,5123547.94,3982991.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5123547.94,5123547.94,0.0,0.0,0.0,0.0
2012-07-06,3054029.42,2517632.84,4,6,188,27,7,3,2012,0,2,2751773.45,2150580.23,,,,,,,,,,,,,,,3937660.6950000003,1677097.8253242655,3066785.71,,,,,,,,,,,,,,,,4530604.3175,4970530.230967742,0.0,0.0,0.0,0.0
2012-07-07,2667930.94,2108246.62,5,7,189,27,7,3,2012,1,3,3054029.42,2517632.84,,,,,,,,,,,,,,,3643116.936666667,1290967.3251376527,2883734.7533333334,,,,,,,,,,,,,,,,4161460.593125,4846885.017356921,0.0,0.0,0.0,0.0
2012-07-08,2360851.9,1808622.79,6,8,190,27,7,3,2012,1,4,2667930.94,2108246.62,,,,,,,,,,,,,,,3399320.4375,1161383.3798846963,2689862.7199999997,3399320.4375,1161383.3798846963,2689862.7199999997,,,,,,,,,,,,,3788078.17984375,4706307.334946797,0.0,0.0,0.0,0.0
2012-07-09,3548386.46,2787841.68,0,9,191,28,7,3,2012,0,5,2360851.9,1808622.79,,,,,,,,,,,,,,,3191626.73,1107832.0707488921,2513614.734,3191626.73,1107832.0707488921,2513614.734,,,,,,,,,,,,,3431271.6098828125,4554987.629466359,0.0,0.0,0.0,0.0
2012-07-10,5234938.62,4044438.84,1,10,192,28,7,3,2012,0,6,3548386.46,2787841.68,,,,,,,,,,,,,,,3251086.685,1001522.0592056047,2559319.225,3251086.685,1001522.0592056047,2559319.225,,,,,,,,,,,,,3460550.322412109,4490045.618533045,0.0,0.0,0.0,0.0
2012-07-11,5582884.78,4338313.07,2,11,193,28,7,3,2012,0,7,5234938.62,4044438.84,5123547.94,3982991.19,,,,,,,,,,,,,3534494.104285714,1182417.179498357,2771479.1700000004,3534494.104285714,1182417.179498357,2771479.1700000004,,,,,,,,,,,,,3904147.3968090815,4538103.231530913,0.0,0.0,0.0,0.0
2012-07-12,5734632.02,4458811.27,3,12,194,28,7,3,2012,0,8,5582884.78,4338313.07,2751773.45,2150580.23,,,,,,,,,,,,,3600113.652857143,1292886.5063433975,2822239.4385714284,3790542.93875,1312580.8075013447,2967333.4074999997,,,,,,,,,,,,,4323831.742606811,4605508.4927224675,0.0,0.0,0.0,0.0
2012-07-13,5309511.71,4143402.78,4,13,195,28,7,3,2012,0,9,5734632.02,4458811.27,3054029.42,2517632.84,,,,,,,,,,,,,4026236.305714286,1448836.1457073893,3151986.73,4006552.836666667,1388327.163594731,3133053.17,4006552.836666667,1388327.163594731,3133053.17,,,,,,,,,,4676531.811955108,4678355.171901664,0.0,0.0,0.0,0.0
2012-07-14,3820831.41,3075464.87,5,14,196,28,7,3,2012,1,10,5309511.71,4143402.78,2667930.94,2108246.62,,,,,,,,,,,,,4348448.061428571,1447389.8166826884,3384239.5785714285,4136848.7240000004,1372246.7444320074,3234088.131,4136848.7240000004,1372246.7444320074,3234088.131,4136848.7240000004,1372246.7444320074,3234088.131,,,,,,,4834776.786466331,4719074.948553169,0.0,0.0,0.0,0.0
