month,category,segment,product_count,stock_on_hand,units_received,units_sold,stockout_days,avg_days_of_supply,avg_fill_rate,stockout_flag_share,overstock_flag_share,reorder_flag_share,avg_sell_through_rate
2012-07-01,Casual,All-weather,16,497,181,158,19,92.8875,0.9604125,0.75,0.5625,0.0,0.24425
2012-07-01,GenZ,Trendy,15,1314,482,416,19,94.74666666666667,0.9577733333333334,0.8,0.8666666666666667,0.0,0.24059333333333335
2012-07-01,Outdoor,Activewear,130,7764,2888,2438,122,93.29307692307692,0.9687161538461538,0.6076923076923076,0.5769230769230769,0.0,0.2434730769230769
2012-07-01,Outdoor,Premium,15,433,155,139,15,92.79333333333334,0.9666533333333334,0.5333333333333333,0.7333333333333333,0.0,0.24438666666666667
2012-07-01,Streetwear,Balanced,45,2589,957,816,47,92.35777777777778,0.96518,0.6444444444444445,0.4444444444444444,0.0,0.24531555555555554
2012-07-01,Streetwear,Everyday,85,7675,2873,2401,91,94.47529411764705,0.9643141176470589,0.7176470588235294,0.788235294117647,0.0,0.24114
2012-07-01,Streetwear,Performance,57,2928,1084,922,63,92.95263157894738,0.963159649122807,0.7543859649122807,0.543859649122807,0.0,0.24415087719298248
2012-07-01,Streetwear,Standard,32,498,176,161,26,91.3375,0.972925,0.625,0.28125,0.0,0.24733125
2012-08-01,Casual,All-weather,17,534,219,185,13,104.74705882352941,0.9745117647058824,0.5294117647058824,0.35294117647058826,0.0,0.2671941176470588
2012-08-01,GenZ,Trendy,20,1463,582,490,19,109.79,0.9683400000000001,0.7,0.45,0.0,0.23405499999999999
2012-08-01,Outdoor,Activewear,132,8530,4348,3660,160,91.14621212121212,0.9595969696969696,0.6893939393939394,0.25757575757575757,0.0,0.286225
2012-08-01,Outdoor,Premium,19,585,438,367,51,71.06315789473685,0.910521052631579,0.7368421052631579,0.2631578947368421,0.0,0.34104210526315787
2012-08-01,Streetwear,Balanced,54,2941,1278,1076,190,119.32962962962964,0.8827148148148148,0.8148148148148148,0.2962962962962963,0.0,0.314
2012-08-01,Streetwear,Everyday,95,8536,3346,2836,181,89.20947368421052,0.9364947368421053,0.7473684210526316,0.45263157894736844,0.0,0.2943336842105263
2012-08-01,Streetwear,Performance,59,3146,1361,1167,50,105.61694915254236,0.9717542372881356,0.5932203389830508,0.3728813559322034,0.0,0.2593813559322034
2012-08-01,Streetwear,Standard,27,514,227,202,35,131.51481481481483,0.9567925925925926,0.8148148148148148,0.3333333333333333,0.0,0.3139444444444444
2012-09-01,Casual,All-weather,17,561,154,133,17,143.3235294117647,0.9666647058823529,0.6470588235294118,0.6470588235294118,0.0,0.21354705882352942
2012-09-01,GenZ,Trendy,19,1506,339,293,25,198.52631578947367,0.9561368421052631,0.8421052631578947,0.8421052631578947,0.0,0.16746842105263157
2012-09-01,Outdoor,Activewear,142,9159,3429,2920,187,124.61338028169013,0.9561021126760564,0.6126760563380281,0.4788732394366197,0.0,0.25648098591549295
2012-09-01,Outdoor,Premium,21,692,537,451,67,81.42380952380952,0.8936619047619048,0.7619047619047619,0.2857142857142857,0.0,0.3484904761904762
2012-09-01,Streetwear,Balanced,54,3077,1039,894,125,153.40185185185186,0.9228425925925926,0.6666666666666666,0.5,0.0,0.2747703703703704
2012-09-01,Streetwear,Everyday,96,8885,2178,1838,149,170.946875,0.948265625,0.65625,0.7083333333333334,0.0,0.22916875
2012-09-01,Streetwear,Performance,50,3146,747,651,44,160.902,0.970668,0.6,0.7,0.0,0.203158
2012-09-01,Streetwear,Standard,25,493,129,123,22,122.572,0.970668,0.6,0.52,0.0,0.229848
2012-10-01,Casual,All-weather,17,559,144,127,7,204.11764705882354,0.9862764705882353,0.29411764705882354,0.7058823529411765,0.0,0.20870588235294119
2012-10-01,GenZ,Trendy,20,1547,266,228,19,259.08000000000004,0.9683300000000001,0.6,0.8,0.0,0.164945
2012-10-01,Outdoor,Activewear,144,10092,3236,2788,157,151.00486111111113,0.9636562500000001,0.6319444444444444,0.5694444444444444,0.0,0.24062708333333335
2012-10-01,Outdoor,Premium,22,835,493,413,61,151.88181818181818,0.9075818181818182,0.6363636363636364,0.5,0.0,0.28802727272727274
2012-10-01,Streetwear,Balanced,49,3133,955,819,105,147.99795918367346,0.9285775510204082,0.6530612244897959,0.5918367346938775,0.0,0.2501
2012-10-01,Streetwear,Everyday,97,9174,1919,1630,145,192.73505154639176,0.9501742268041237,0.6391752577319587,0.7422680412371134,0.0,0.2037340206185567
2012-10-01,Streetwear,Performance,60,3315,540,460,73,255.22,0.9594349999999999,0.7166666666666667,0.7666666666666667,0.0,0.16494166666666665
2012-10-01,Streetwear,Standard,28,539,179,157,54,150.83928571428572,0.9357035714285714,0.8214285714285714,0.5,0.0,0.2378357142857143
2012-11-01,Casual,All-weather,16,568,106,94,17,220.33125,0.964575,0.625,0.75,0.0,0.16018125
2012-11-01,GenZ,Trendy,15,1516,141,124,16,593.7199999999999,0.9644533333333333,0.8,0.9333333333333333,0.0,0.08041999999999999
2012-11-01,Outdoor,Activewear,146,10930,3810,3268,156,143.56986301369864,0.9643835616438357,0.6986301369863014,0.6438356164383562,0.0,0.22615753424657534
2012-11-01,Outdoor,Premium,22,922,514,436,50,168.70454545454547,0.92425,0.7272727272727273,0.4090909090909091,0.0,0.2833727272727273
2012-11-01,Streetwear,Balanced,47,3245,860,730,67,176.3553191489362,0.9524808510638298,0.7659574468085106,0.6595744680851063,0.0,0.22662127659574466
2012-11-01,Streetwear,Everyday,90,9262,1381,1190,114,321.28666666666663,0.957778888888889,0.7333333333333333,0.7666666666666667,0.0,0.16236777777777778
2012-11-01,Streetwear,Performance,52,3176,391,340,52,270.8134615384615,0.966673076923077,0.7307692307692307,0.6730769230769231,0.0,0.16059807692307693
2012-11-01,Streetwear,Standard,23,515,73,69,23,244.36521739130433,0.9666652173913043,0.6521739130434783,0.782608695652174,0.0,0.16059565217391303
2012-12-01,Casual,All-weather,18,611,131,116,21,184.8,0.9611055555555557,0.7222222222222222,0.7222222222222222,0.0,0.18569444444444447
2012-12-01,GenZ,Trendy,18,1589,240,206,17,397.35555555555555,0.9685222222222222,0.6666666666666666,0.8888888888888888,0.0,0.12172222222222223
2012-12-01,Outdoor,Activewear,168,12891,9178,7690,327,101.49761904761904,0.9351214285714287,0.7380952380952381,0.3333333333333333,0.0,0.30978214285714284
2012-12-01,Outdoor,Premium,23,1024,654,555,46,146.67391304347825,0.9333347826086956,0.5652173913043478,0.2608695652173913,0.0,0.31554347826086954
