order_id,delay_days,avg_rating
1,4,5.0
3,3,5.0
10,6,5.0
16,5,5.0
17,3,4.0
20,7,5.0
23,3,5.0
24,3,4.0
28,4,5.0
49,3,5.0
50,2,4.0
74,4,5.0
79,2,5.0
84,6,5.0
89,6,5.0
90,5,4.0
104,7,4.0
106,5,5.0
117,4,5.0
118,6,4.0
126,7,5.0
128,2,3.0
149,7,4.0
156,7,4.0
160,2,5.0
169,2,4.0
199,7,5.0
220,2,5.0
228,7,4.0
234,5,4.0
239,3,4.0
244,2,5.0
246,3,5.0
250,2,5.0
257,6,4.0
266,6,4.0
286,2,5.0
287,6,4.0
297,7,5.0
299,3,4.0
302,6,5.0
303,4,2.0
315,6,4.0
326,6,5.0
328,6,5.0
333,6,5.0
340,2,4.0
342,5,5.0
357,5,4.0
381,7,4.0
386,5,5.0
394,5,3.0
403,2,4.0
411,4,5.0
421,7,4.0
433,2,5.0
436,7,3.0
444,7,4.0
445,2,5.0
453,6,1.0
457,5,5.0
459,3,5.0
463,5,2.0
474,7,4.0
475,2,5.0
477,4,4.0
484,6,4.0
520,2,4.0
536,5,5.0
544,3,4.0
546,6,5.0
554,3,5.0
564,6,4.0
566,2,3.0
581,6,3.0
583,7,4.0
589,3,1.0
590,4,4.0
593,2,1.0
598,7,4.5
602,6,5.0
612,3,5.0
614,6,5.0
616,6,4.0
618,2,4.0
619,2,4.0
635,5,4.0
642,3,4.0
649,5,4.0
664,6,4.0
667,7,1.0
673,3,5.0
679,6,4.0
696,5,1.0
706,7,5.0
708,7,5.0
725,2,5.0
726,2,5.0
738,7,3.0
756,6,4.5
757,4,5.0
764,6,5.0
766,5,5.0
769,3,5.0
781,7,5.0
786,4,2.0
787,4,5.0
793,7,4.0
794,4,2.0
811,3,3.0
820,2,5.0
824,7,1.0
832,4,3.0
836,6,4.0
838,3,5.0
842,6,4.0
851,4,4.0
869,2,4.0
871,4,4.0
878,2,5.0
889,7,3.0
907,4,4.0
909,6,4.0
920,5,2.0
931,7,5.0
932,4,4.0
938,6,5.0
943,7,4.0
951,5,4.0
952,7,4.0
958,5,3.0
962,3,4.0
972,4,1.0
974,2,5.0
984,5,3.0
986,2,5.0
988,2,4.0
997,5,4.0
1006,3,4.0
1023,2,1.0
1041,4,5.0
1062,4,5.0
1079,4,3.0
1092,6,4.0
1096,2,4.0
1097,2,5.0
1104,6,4.0
1108,5,4.0
1113,6,4.0
1129,6,4.0
1146,4,3.0
1149,3,5.0
1158,3,5.0
1168,4,3.0
1171,7,4.0
1174,3,2.0
1182,4,4.0
1200,5,4.0
1201,6,2.0
1203,5,3.0
1208,5,5.0
1211,4,4.0
1213,2,1.0
