feature,importance
revenue_lag_1,0.5799828
daily_line_revenue,0.09342322
quarter,0.032599386
dayofmonth,0.02807159
cogs_lag_7,0.018620579
revenue_lag_7,0.01620714
daily_order_count,0.015765851
is_month_end,0.015667707
cogs_roll_mean_30,0.014125338
revenue_roll_mean_7,0.014025246
month,0.012570607
cogs_lag_28,0.010242109
revenue_lag_28,0.009856101
cogs_roll_mean_7,0.009812121
revenue_roll_mean_14,0.008974535
avg_discount_value,0.008788723
daily_qty_sold,0.0073397188
cogs_lag_14,0.006774485
revenue_lag_14,0.0061514266
revenue_roll_std_7,0.0059850626
weekofyear,0.005794121
cogs_roll_std_7,0.005151881
revenue_roll_std_14,0.005074268
monthly_stockout_days,0.004852341
cogs_roll_std_14,0.0045296843
cogs_roll_std_30,0.004183791
cogs_lag_1,0.0041548843
revenue_roll_mean_30,0.0040255967
is_weekend,0.0038030357
daily_refund_amount,0.0036412303
dayofweek,0.0035690942
year,0.0035381748
daily_avg_rating,0.0034014967
time_index,0.0031832913
revenue_roll_std_30,0.0031502533
cogs_roll_mean_14,0.0029250046
daily_avg_delay,0.0026258987
daily_returns,0.0024333238
monthly_sell_through_rate,0.0024078782
avg_session_duration_sec,0.002179994
page_views,0.0020507164
monthly_fill_rate,0.0019595919
sessions,0.0018735346
bounce_rate,0.0017835484
unique_visitors,0.0014036903
daily_active_promos,0.0013199414
