feature,importance
day,435
Revenue_lag1,274
Revenue_lag7,272
total_payment,203
COGS_yoy_ratio,187
COGS_same_week_ly,157
fourier_y_sin_1,150
fourier_y_cos_6,146
Revenue_lag14,141
COGS_yoy_diff,124
COGS_lag28,124
COGS_lag7,123
Revenue_lag28,113
COGS_lag30,108
avg_payment,107
Revenue_same_week_ly,106
COGS_lag365,104
avg_bounce_rate,103
rev_momentum_30_60,100
fourier_y_sin_9,95
fourier_y_sin_8,93
COGS_rmin7,92
pm_bank_transfer,90
pm_credit_card,88
Revenue_yoy_diff,88
COGS_lag90,87
COGS_lag14,86
cogs_rev_ratio_lag7,85
fourier_y_sin_6,84
fourier_y_cos_3,84
items_per_order,83
Revenue_lag365,82
COGS_lag21,81
src_direct,80
Revenue_rmin7,78
Revenue_lag180,78
fourier_w_cos_1,78
dev_tablet,76
src_email_campaign,74
src_social_media,73
fourier_w_sin_1,72
n_order_lines,72
fourier_y_sin_7,70
COGS_lag2,70
Revenue_lag90,70
src_referral,68
COGS_lag1,67
COGS_rstd7,67
Revenue_lag30,66
src_organic_search,65
n_orders,65
src_paid_search,64
rev_momentum_7_14,64
trend,64
pm_cod,64
fourier_y_cos_9,62
avg_session_duration,62
Revenue_rstd7,62
total_pageviews,61
Revenue_rmedian7,60
COGS_lag180,60
COGS_lag60,59
fourier_y_sin_5,59
avg_days_supply,58
pm_paypal,57
fourier_w_sin_2,57
dow,56
Revenue_lag21,55
fourier_y_sin_4,55
Revenue_rmin14,55
cogs_rev_ratio_lag30,54
COGS_rmedian7,53
fourier_y_cos_5,53
fourier_y_sin_3,52
dev_mobile,51
Revenue_lag3,51
Revenue_yoy_ratio,51
n_items,47
Revenue_lag2,46
pm_apple_pay,46
fourier_y_sin_10,46
dev_desktop,46
n_customers,46
avg_fill_rate,44
COGS_lag3,42
total_stock,42
Revenue_lag60,41
fourier_w_sin_3,40
fourier_y_cos_7,40
total_sessions,38
COGS_rstd90,38
fourier_y_cos_8,38
COGS_rmean7,37
COGS_rstd14,37
COGS_rmean180,36
days_after_tet,35
Revenue_rmean7,34
Revenue_rmedian180,34
COGS_rmin14,33
fourier_y_cos_1,32
COGS_rstd28,32
sessions_x_promos,31
Revenue_rstd28,31
Revenue_rstd14,31
COGS_rstd56,31
fourier_y_cos_10,30
fourier_y_cos_4,30
COGS_ewm14,29
Revenue_rmin28,28
fourier_y_sin_2,28
COGS_rmedian180,28
traffic_pct_organic_search,28
fourier_y_cos_2,27
n_overstock,27
pct_promo,26
total_discount,26
COGS_rmin180,25
Revenue_rmean14,24
Revenue_rstd56,24
Revenue_rmin56,24
aov,24
Revenue_rmedian14,23
Revenue_rmax28,23
Revenue_rmean56,23
COGS_ewm30,23
bounce_social_media,22
doy,22
COGS_rmax28,22
COGS_rmedian14,21
COGS_rmean28,21
total_visitors,21
COGS_ewm7,21
days_to_tet,20
traffic_pct_paid_search,20
n_stockout,20
Revenue_rmax14,20
COGS_rmin28,19
Revenue_rmin90,18
fourier_w_cos_3,18
Revenue_ewm30,17
Revenue_rstd180,17
Revenue_rstd90,17
Revenue_rmedian28,17
COGS_rmax56,17
COGS_rmean90,17
is_vn_holiday,17
Revenue_rmedian56,16
fourier_w_cos_2,15
total_units_sold,15
avg_sell_through,15
Revenue_ewm7,15
trend_sq,15
COGS_rmax180,15
Revenue_rmin180,15
COGS_rmax14,14
COGS_rmax7,14
COGS_ewm90,14
Revenue_rmean180,14
Revenue_rmean28,14
Revenue_rmax180,13
COGS_rstd180,13
traffic_pct_social_media,13
year,13
max_pct_discount,12
bounce_email_campaign,12
Revenue_rmax7,12
traffic_pct_email_campaign,11
COGS_rmin56,11
Revenue_rmax90,11
COGS_rmedian28,11
Revenue_rmedian90,11
is_quarter_end,10
COGS_rmean56,10
Revenue_ewm90,10
COGS_rmean14,10
COGS_rmin90,9
bounce_direct,9
Revenue_ewm14,9
max_fixed_discount,9
Revenue_rmax56,8
total_units_received,8
days_in_month,8
bounce_organic_search,8
week,7
COGS_rmedian90,6
COGS_rmedian56,6
is_month_start,5
Revenue_rmean90,5
bounce_paid_search,5
traffic_pct_referral,5
new_customer_ratio,4
traffic_pct_direct,4
n_active_promos,2
month,2
COGS_rmax90,2
bounce_referral,1
n_categories_promo,1
n_reorder,0
quarter,0
is_weekend,0
has_stackable_promo,0
is_month_end,0
is_quarter_start,0
is_payday,0
is_tet_window,0
is_tet_eve,0
is_tet_holiday,0
is_black_friday,0
is_1111,0
is_1212,0
is_christmas,0
is_valentine,0
is_womens_day,0
is_new_year_eve,0
is_labor_day,0
is_national_day,0
n_new_customers,0
