Feature,mean_abs_SHAP,rank
Revenue_lag1,698338.4210624641,1
total_payment,443991.71393353865,2
Revenue_lag7,146793.60584829786,3
day,124110.4196916591,4
COGS_same_week_ly,93488.42856566673,5
Revenue_lag14,59853.42989977642,6
fourier_y_sin_1,58060.565087712006,7
COGS_yoy_ratio,52820.21620811362,8
n_order_lines,51775.65400615525,9
Revenue_same_week_ly,49886.25311961075,10
Revenue_lag28,48879.771069620256,11
avg_payment,43950.84616773206,12
n_customers,41514.51403326753,13
COGS_lag7,41391.94584272743,14
Revenue_rmin7,39933.388834515135,15
COGS_lag1,35547.89233136126,16
fourier_w_cos_1,35142.728570124804,17
n_orders,34622.930701056255,18
COGS_lag28,32714.142524240917,19
COGS_yoy_diff,31482.548125528116,20
